wylie,base term,sanskrit,wikipedia,translations,comment
chos,,"дхамма, дхарма",https://ru.wikipedia.org/wiki/Дхарма,"Дхарма, Учение, духовное учение",
*,,,,"элементы бытия, феномены, явления",
chos nyid,,дхармата,,подлинное-бытие,
chos mngon,,,,теория элементов бытия (Абхидхарма),
sku gsum,,три кая,https://ru.wikipedia.org/wiki/Три_тела_Будды,три Тела Будды,
chos (kyi) sku,sku gsum,Дхармакая,,Тело учения,
longs sku,sku gsum,Самбхогакая,,Тело блаженства,
sprul (pa'i) sku,sku gsum,Нирманакая,,Тело воплощения,
